,cycle,id,transid,crpfilterid,recipcode,pacshort,crprecipname,expcode,amount,date,city,state,zip,cmtelid_ef,candid,type,descrip,pg,elecother,enttype,source
2,2016,293,D570609,C00025254,DP,,,W10,2873,01/09/2015,Eagan,MN,551224217,,,,Payroll,,,IND,@auto
3,2016,306,D570604,C00025254,DP,,,A40,1041,12/08/2014,Hollywood,FL,,,,,Lodging,,,ORG,@auto
24,2016,1481,D660968,C00141812,DP,,,W10,1394,01/15/2015,,MD,,,,,payroll,,,IND,@auto
30,2016,1810,SB21B-932577,C00000935,DP,,,A70,565,01/13/2015,,CA,900848080,,,,Telephones,,,ORG,@new
31,2016,1814,SB21B-932581,C00000935,DP,,,A70,325,01/13/2015,,CA,900848080,,,,Telephones,,,ORG,@new
35,2016,1964,SB21B-932448-20000,C00000935,DP,,,A40,60,12/16/2014,Washington,DC,,,,,Travel,,,ORG,@auto
37,2016,2065,SB21B-932400,C00000935,DP,,,A40,152,01/23/2015,Chicago,IL,,,,,Travel,,,ORG,@auto
38,2016,2113,SB21B-932660,C00000935,DP,,,W10,2303,01/23/2015,Alexandria,VA,,,,,Payroll,,,IND,@auto
39,2016,2163,SB21B-932703,C00000935,DP,,,W10,3822,01/23/2015,Washington,DC,,,,,Payroll,,,IND,@auto
78,2016,5004,SB21-0042060,C00075820,RP,,,W10,1891,01/30/2015,WASHINGTON,DC,,,,,PAYROLL,,,IND,@auto
82,2016,5284,D749655,C00010033,DP,,,W10,1626,01/05/2015,Bozeman,MT,,,,,Salaries,O2016,,IND,@auto
90,2016,5563,SB21B232074,C00033134,RP,,,A70,530,01/13/2015,Denver,CO,,,,,Telephone,,,ORG,@new
93,2016,5931,SB21B-278795,C00010603,DP,,,F10,50810,01/14/2015,Denver,CO,802021605,,,,Telemarketing,,,ORG,@new
94,2016,5944,SB21B-279054,C00010603,DP,,,W10,1526,01/15/2015,Washington,DC,,,,,Salaries,,,IND,@auto
95,2016,6059,SB21B-279169,C00010603,DP,,,W10,1884,01/15/2015,Philadelphia,PA,,,,,Salaries,,,IND,@auto
97,2016,6152,SB21B-278904,C00010603,DP,,,F10,586,01/22/2015,Beaverton,OR,970052977,,,,Telemarketing,,,ORG,@new
98,2016,6357,SB21B-279293,C00010603,DP,,,W10,1286,01/30/2015,Washington,DC,,,,,Salaries,,,IND,@auto
99,2016,6380,SB21B-279316,C00010603,DP,,,W10,1609,01/30/2015,Cheverly,MD,,,,,Salaries,,,IND,@auto
100,2016,6410,SB21B-279346,C00010603,DP,,,W10,1188,01/30/2015,Boston,MA,,,,,Salaries,,,IND,@auto
117,2016,7220,SB21B63814,C00354332,DP,,,W10,579,01/13/2015,Fraser,MI,,,,,Salary,,,IND,@auto
120,2016,7421,SB30B26755,C00187450,RP,,,W10,3710,01/14/2015,,LA,,,,,PAYROLL,,,IND,@auto
124,2016,7695,SB30B10610,C00005926,RP,,,W10,2298,01/15/2015,CHICAGO,IL,,,,,PAYROLL,,,IND,@auto
126,2016,7816,21b-01-06073-07967,C00162578,DP,,,A70,582,02/11/2015,Rochester,NY,,,,,phone/internet,,,ORG,@new
128,2016,8038,SB21B26442,C00277335,RP,,,A30,15,02/09/2015,Fairfax,VA,,,,,Food,,,ORG,@new
129,2016,8069,SB30B301313,C00001305,RP,,,W10,1538,02/27/2015,Mechanicsville,VA,,,,,Salary,,,IND,@auto
132,2016,8160,2015M02L21PA00071,C00003418,RP,,,W10,1416,01/15/2015,WASHINGTON,DC,,,,,PAYROLL,,,IND,@auto
133,2016,8212,VNH179YJF13,C00259481,DP,,,A40,534,02/17/2015,Washington,DC,200014545,,,,Transportation,,,ORG,@auto
135,2016,8454,2015M02L2100235,C00003418,RP,,,U10,2300,01/14/2015,OSHKOSH,WI,,,,,POSTAGE,,,ORG,@new
136,2016,8560,2015M02L21PA00167,C00003418,RP,,,W10,2125,01/15/2015,WASHINGTON,DC,,,,,PAYROLL,,,IND,@auto
138,2016,8634,SB234200,N00036867,RN,,,A30,9,01/17/2015,Jameson,MO,,,,,Lunch,,,CCM,@new
154,2016,9251,SB1713485,N00001692,DI,,,U10,61,02/20/2015,Clinton,MD,,,,,Postage,,,ORG,@new
162,2016,9807,SB17I1374,N00030770,RI,,,U10,41,01/02/2015,,AR,,,,,SHIPPING,P2016,,ORG,@new
163,2016,9882,SB1740993,N00026148,RI,,,A30,1244,03/05/2015,Washington,DC,,C00386532,,,Meals,P2016,,ORG,@new
164,2016,9934,SB1740932,N00026148,RI,,Onstar,A70,32,02/20/2015,Detroit,MI,,C00386532,,,Telephone,P2016,,ORG,@new
173,2016,10454,B-E-5858,N00035007,RI,,,W10,750,01/02/2015,Cleveland,OH,441433710,,,,PAYROLL,,,IND,@auto
174,2016,10455,B-E-5857,N00035007,RI,,,W10,595,01/02/2015,,OH,440248802,,,,PAYROLL,,,IND,@auto
175,2016,10507,B-E-5938,N00035007,RI,,,A70,98,02/06/2015,,PA,180025505,,,,CELLPHONE,,,ORG,@new
177,2016,10602,SB17I2021,N00029391,RI,,,W10,2226,01/05/2015,FAIRMONT,MN,,,,,PAYROLL,,,IND,@auto
178,2016,10604,SB17I2019,N00029391,RI,,,W10,901,01/05/2015,,MN,,,,,PAYROLL,,,IND,@auto
186,2016,10964,D563763,N00009829,DI,,,W10,1665,03/31/2015,Seattle,WA,981095545,,,,Wages,P2016,,ORG,@auto
188,2016,11226,D501241,N00000179,DI,,,A40,10,01/26/2015,Worcester,MA,,,,,Parking,P2016,,ORG,@new
194,2016,11712,D54-000120050069,N00004291,RI,,,W10,125,03/03/2015,Brookfield,WI,,,,,Salary,P2016,,IND,@auto
209,2016,12423,D570377,N00004029,DI,,,A40,398,01/14/2015,Dallas,TX,752619612,,,,Travel,P2016,,ORG,@auto
210,2016,12603,VN7K39TTK81,N00033997,DI,,,W10,2044,02/26/2015,Redlands,CA,923743959,,,,Payroll,P2016,,IND,@auto
212,2016,12636,VN7K39TS599,N00033997,DI,,Uber,A40,7,02/05/2015,,CA,941033162,,,,Travel,P2016,,ORG,@auto
214,2016,13082,2015M12L2100257,C00003418,RP,,,A70,126,11/04/2015,PHILADELPHIA,PA,,,,,UTILITIES,,,ORG,@auto
222,2016,13610,SB174301,N00026481,DN,,,W10,1000,03/13/2015,,OK,,,,,Taxes,P2016,,ORG,@new
225,2016,14014,B0F5E932DB4BD4C7A9CB,N00026171,RI,,,W10,897,02/15/2015,Orefield,PA,180699513,,,,Payroll,G2016,,ORG,@auto
226,2016,14054,BC1B62CB6DF474A94974,N00026171,RI,,,W10,897,03/29/2015,Orefield,PA,180699513,,,,Payroll,G2016,,ORG,@auto
227,2016,14150,17-5018-P,N00030600,DI,,,A40,299,03/13/2015,Norwalk,CT,,,,,1/24/15-Lodging-JChu,,,ORG,@new
229,2016,14434,B-E-46298,N00007690,RI,,,A70,671,03/01/2015,,OR,970311172,,,,rent,P2016,,ORG,@auto
234,2016,14813,SB1762038,N00000575,DI,,,W10,367,02/02/2015,Manchester,CT,,,,,Salary,,,IND,@auto
236,2016,14973,SB2162601,N00000575,DI,,,R30,1000,03/30/2015,Prescott,AZ,,,H8AZ01104,,Contribution,P2016,,CCM,@new3
241,2016,15440,SB176194,N00033527,RI,,,A70,70,03/20/2015,WILMINGTON,NC,,,,,RENT,,,ORG,@auto
247,2016,15844,B4C0EE80E69E043A8AFD,N00029147,RI,,,U10,16,06/03/2015,Pittsburgh,PA,152507461,,,,Postage,,,ORG,@new
257,2016,16263,D517712,N00032019,DI,,,W10,300,10/30/2015,Bristol,RI,,,,,Payroll,P2016,,IND,@auto
258,2016,16314,D517806,N00032019,DI,,,A40,40,11/13/2015,Providence,RI,029045701,,,,Gasoline,P2016,,ORG,@new
259,2016,16328,D518272,N00032019,DI,,,A40,158,12/23/2015,Bellevue,WA,,,,,Airefare,P2016,,ORG,@new
267,2016,16948,EXPB5161,N00033030,DI,,,F30,431,11/12/2015,Washington,DC,,,,,Food,P2016,,ORG,@new2
270,2016,17127,SB174812,N00035515,DO,,,A40,107,01/31/2016,,MI,,,,,mileage,P2016,,IND,@auto
286,2016,17981,VPENEA1HXB8,N00027088,DN,,,W10,36,02/19/2016,,PA,180025156,,,,withholdings,P2016,,ORG,@new
295,2016,18404,BD21AFB7CB5EC4B6F868,N00035972,RI,,Postnet,U10,62,03/15/2016,Rockwall,TX,750326684,,,,Postage,G2016,,ORG,@new
297,2016,18535,VN81E9VKG52,N00027751,DI,,Amtrak,A40,16,02/21/2016,Baltimore,MD,,,,,Tickets,P2016,,ORG,@new
301,2016,18975,SB175122,N00037404,DC,,Visionaires,F30,80,03/15/2016,Gainesville,FL,,,,,fundraiser,P2016,,ORG,@new
303,2016,19040,B2495650EB72445D9970,N00005681,RI,,,W10,1244,02/12/2016,Murphy,TX,750944451,,,,Salary,P2016,,IND,@auto
304,2016,19148,B75C44615B99048AFB3C,N00005681,RI,,,C10,207,01/29/2016,,CA,914061321,,,,Printing,P2016,,ORG,@new
311,2016,19559,B08A3F05B4B684695B9B,N00035007,RI,,,A70,99,02/27/2016,,PA,180025505,,,,CELLPHONE,P2016,,ORG,@new
313,2016,19602,BDB4DFB46BB9944A0BAB,N00035007,RI,,,A70,190,03/22/2016,,PA,180025505,,,,CELLPHONE,P2016,,ORG,@new
314,2016,19658,SB174645,N00038800,RL,,,W10,750,01/18/2016,Houston,TX,,C00600858,,,Payroll,P2016,,ORG,@auto
323,2016,20043,VNTPB9SMNV2,N00001821,DI,,,W10,748,02/12/2016,Washington,DC,200084930,,,,Salary,P2016,,IND,@auto
326,2016,20306,B477C183277D54E97BE9,N00001003,DI,,,A40,56,11/02/2015,,NY,108051203,,,,Gas,P2016,,ORG,@new
327,2016,20414,VPEH1A1E9S0,N00001883,DL,,,U10,49,01/27/2016,Rockville,MD,208509998,,,,Postage,P2016,,ORG,@new
329,2016,20444,SB17I2259,N00031777,RI,,,A40,22,12/03/2015,PHILADELPHIA,PA,,,,,PARKING,,,ORG,@new
332,2016,20616,SB17I2326,N00031777,RI,,,R20,500,03/22/2016,,PA,,,,,CONTRIBUTION,,,ORG,@new
333,2016,20625,SB17I2347,N00031777,RI,,,A40,75,12/03/2015,MCLEAN,VA,,,,,TRAVEL,,,ORG,@auto
334,2016,20781,B2D46D6FC7B4F48C389D,N00003288,DI,,,W10,250,03/18/2016,Edwards,MS,,,,,Salary,G2016,,IND,@auto
349,2016,21744,BB573AA739E184C1EBA2,N00033832,RI,,,A40,3046,02/03/2016,,TX,761552605,,,,Travel,P2016,,ORG,@auto
358,2016,22405,B-E-34094,N00032022,RI,,,W10,44,01/06/2015,,SD,571062214,,,,Insurance,P2016,,ORG,@new
362,2016,22578,SB177054,N00004724,DI,,Ixia,U60,300,02/20/2015,Evanston,IL,,,,,Flowers,,,ORG,@new
364,2016,23011,D605948,N00006008,DI,,,A40,436,01/12/2015,Chicago,IL,,,,,Travel/Airfare,P2016,,ORG,@auto
368,2016,23201,VNTPB9R79S6,N00001821,DI,,,W10,1285,01/15/2015,Washington,DC,200026716,,,,Salary,P2016,,IND,@auto
372,2016,23671,VN7EC9YA275,N00008046,DI,,,F30,473,01/22/2015,Cincinnati,OH,452022703,,,,Catering,P2016,,ORG,@new
373,2016,23824,D565648,N00029513,DI,,,F30,250,02/01/2015,Washington,DC,,,,,Catering,,,ORG,@new
375,2016,24098,BE9F6886310304AC49A0,N00026460,RI,,,A40,313,03/10/2015,Atlanta,GA,303206001,,,,Travel,P2016,,ORG,@auto
376,2016,24120,B076304EDBE5D499DB87,N00026460,RI,,Wegmans,A30,431,01/11/2015,Lanham,MD,207061619,,,,Food/Beverage,P2016,,ORG,@new
384,2016,24590,D563251,N00025280,DI,,,A40,484,03/09/2015,Burlingame,CA,,,,,Travel/Airfare,P2016,,ORG,@auto
387,2016,24723,D654842,N00024870,DI,,,A30,108,01/12/2015,Washington,DC,200034311,,,,Meals,P2016,,ORG,@new
393,2016,24946,D663609,N00009759,DI,,,A40,426,02/03/2015,Seatac,WA,981680900,,,,Travel,P2016,,ORG,@auto
397,2016,25218,D616237,N00024842,DI,,Supershuttle,A40,81,01/05/2015,Scottsdale,AZ,,,,,Travel,O2016,Convention,ORG,@auto
400,2016,25409,50323E8443,N00004719,RI,,,W10,100,02/02/2015,Arlington,VA,,,,,salary,,,IND,@auto
401,2016,25427,50323E8433,N00004719,RI,,,U10,2,01/09/2015,Wheaton,IL,601871000,,,,delivery,,,ORG,@new
402,2016,25443,50323E8495,N00004719,RI,,Cardsdirect.Com,C10,238,01/21/2015,Dallas,TX,,,,,printing,,,ORG,ManAG
403,2016,25474,50323E8479,N00004719,RI,,,W10,4000,03/02/2015,Williamsburg,VA,,,,,salary,,,IND,@auto
404,2016,25483,50323E8447,N00004719,RI,,,W10,1667,02/02/2015,Geneva,IL,601342866,,,,salary,,,IND,@auto
411,2016,25775,B-E-21135,N00009795,RI,,,W10,183,02/11/2015,,MI,,,,,Payroll,P2016,,IND,@auto
412,2016,25810,B-E-21189,N00009795,RI,,,W10,165,03/11/2015,Chesterfield,MI,480474635,,,,Payroll,P2016,,IND,@auto
414,2016,25869,D5-02oI03,N00026335,RI,,,A40,302,01/12/2015,Denver,CO,,,,,transportation,,,ORG,@auto
421,2016,26288,B-S-1044,N00031204,RN,,,A70,458,02/26/2015,Acworth,GA,301019002,,,,Telephone,G2014,,ORG,@new
424,2016,26646,D560330,N00033510,DI,,,A40,989,01/20/2015,Phoenix,AZ,850343802,,,,Travel,P2016,,ORG,@auto
425,2016,26852,D663395,N00034453,DI,,,U10,45,01/05/2015,,WA,,,,,Postage,P2016,,ORG,@auto
426,2016,26988,D661417,N00034277,DI,,Uber,A40,17,02/25/2015,,CA,941051644,,,,Travel,P2016,,ORG,@auto
427,2016,27147,B-S-31301,N00026368,RI,,,F30,50,11/19/2014,Washington,DC,200031801,,,,food,P2016,,ORG,@new2
430,2016,27198,B-S-31340,N00026368,RI,,,U10,49,02/11/2015,Adrian,MI,492213086,,,,postage,P2016,,ORG,@new
432,2016,27302,VNV3Y9RA105,N00033316,DI,,,A40,137,01/28/2015,McAllen,TX,785014628,,,,Lodging,P2016,,ORG,@auto
433,2016,27309,VNV3Y9RA0G9,N00033316,DI,,,A40,40,01/28/2015,Dallas,TX,752351611,,,,Travel,P2016,,ORG,@auto
435,2016,27427,D7-043n01,N00000834,RN,,,R30,1000,03/09/2015,Brighton,MI,,,,,Contribution,P2015,,CAN,@new
436,2016,27437,D358758,N00031557,DI,,,W10,2017,03/15/2015,Olympia,WA,,,,,Wages,P2016,,IND,@auto
437,2016,27477,D358791,N00031557,DI,,,A40,1574,03/03/2015,Vancouver,WA,,,,,Lodging,P2016,,ORG,@auto
440,2016,27569,D498435,N00007727,DI,,,A70,76,01/05/2015,Dallas,TX,,,,,Telephone,,,ORG,@new
441,2016,27633,D618908,N00026106,DI,,,A40,18,01/31/2015,Wilmington,DE,,,,,Taxis,P2016,,ORG,@new
446,2016,27871,D618868,N00026106,DI,,,A40,66,01/08/2015,Fairfax,VA,,,,,Transportation,P2016,,ORG,@auto
447,2016,27872,D618869,N00026106,DI,,,A40,36,01/22/2015,Fairfax,VA,,,,,Transportation,P2016,,ORG,@auto
461,2016,29051,VPECN9Q33A7,N00030875,DI,,,A40,1150,01/26/2015,Philadelphia,PA,191063939,,,,Lodging,P2016,,ORG,@auto
463,2016,29161,B962D39C3456040A287C,N00026790,DI,,,F30,229,01/29/2015,,MO,641101825,,,,catering,P2016,,ORG,@new
472,2016,29685,B-S-4329,N00026595,RO,,,A40,247,01/14/2015,,LA,,,,,Lodging,P2016,,ORG,@auto
475,2016,29949,B-S-4466,N00026595,RO,,,M30,75,03/04/2015,,CA,,,,,Advertising,P2016,,ORG,@new
476,2016,29959,B-S-4486,N00026595,RO,,,F30,537,03/04/2015,,LA,,,,,Catering,P2016,,ORG,@new
478,2016,30196,D426432,N00026926,DI,,,W10,1208,01/15/2015,Stockton,CA,,,,,Payroll,,,ORG,@auto
482,2016,30372,D424399,N00007360,DI,,,A30,40,01/15/2015,,CA,,,,,Shipping,P2016,,ORG,ManAG
484,2016,30491,B-S-3671,N00024922,RI,,,A40,210,02/04/2015,Sterling,VA,,,,,Transportation,P2016,,ORG,@auto
489,2016,30780,EDTB751EXPB8241,N00031593,RI,,,A40,292,02/06/2015,,CA,,,,,LODGING,P2016,,ORG,@auto
490,2016,30860,EDTB777EXPB8426,N00031593,RI,,,A30,223,03/30/2015,WASHINGTON,DC,,,,,MEETING,P2016,,ORG,@new
491,2016,30920,BF09EE30ACCA14F4EB91,N00026627,RI,,,A70,900,01/29/2015,Gastonia,NC,280527521,,,,Rent,P2016,,IND,@auto
493,2016,31093,BBCDB2FFD1DD343ECB3F,N00032416,RI,,,W10,1500,01/30/2015,Atlanta,GA,303412604,,,,salary,P2016,,IND,@auto
496,2016,31186,SB17191758,N00033842,RI,,,U10,3000,02/23/2015,LEHI,MT,,,,,POSTAGE,,,ORG,@auto
500,2016,31321,B-S-2977,N00001811,RI,,,A40,116,03/02/2015,,TX,,,,,Lodging,P2016,,ORG,@auto
502,2016,31355,B-S-3025,N00001811,RI,,,F30,513,03/23/2015,,TX,,,,,Catering,P2016,,ORG,@new
504,2016,31507,SB17390341,N00003467,RI,,,A40,126,03/25/2015,Burlingame,CA,,,,,Transportation,,,ORG,@auto
510,2016,31648,B518C4305809F40AC8D1,N00029273,RI,,,U10,50,01/06/2015,Memphis,TN,381940001,,,,Shipping,,,ORG,@new
511,2016,31672,B139EA1FF414B456D9E2,N00029273,RI,,,U10,126,01/22/2015,Memphis,TN,381940001,,,,Shipping,,,ORG,@new
513,2016,31886,D518577,N00002893,DI,,,W10,4102,02/27/2015,,FL,333062090,,,,Payroll,P2016,,IND,@auto
516,2016,32089,B-S-5490,N00003105,RI,,,R00,300,03/18/2015,Clarksville,TN,370440001,,,,Donation,P2016,,ORG,@new
519,2016,32307,D663938,N00001171,DI,,,A30,113,03/16/2015,Washington,DC,,,,,Meals,P2016,,ORG,@new
520,2016,32398,D428803,N00002577,DI,,,A40,822,02/11/2015,Decatur,GA,,,,,Travel/Lodging,P2016,,ORG,@auto
523,2016,32517,VN7AV9TTF08,N00028257,DI,,,W10,2089,01/05/2015,Minneapolis,MN,554081557,,,,Payroll,P2016,,IND,@auto
525,2016,32659,VN7AV9TTGE0,N00028257,DI,,,A40,503,01/29/2015,Atlanta,GA,303206001,,,,Travel,P2016,,ORG,@auto
530,2016,32871,17-01-02587-03291,N00035431,DI,,,W10,2598,01/15/2015,Andover,MA,,,,,Payroll,,,IND,@auto
533,2016,33021,D758489,N00007833,DI,,,W10,780,02/28/2015,Washington,DC,,,,,Wages,P2016,,IND,@auto
534,2016,33080,D758191,N00007833,DI,,,U10,20,01/05/2015,,WA,,,,,Postage,P2016,,ORG,@new
535,2016,33096,VNGZA9TTY50,N00024978,DI,,,A30,6,03/18/2015,Washington,DC,200032093,,,,Meal,P2016,,ORG,@new
536,2016,33188,VNGZA9TTVK4,N00024978,DI,,,A30,61,02/13/2015,Washington,DC,200034319,,,,Meal,P2016,,ORG,@new
537,2016,33199,VNGZA9TVZC5,N00024978,DI,,,A40,275,01/11/2015,Laredo,TX,780413197,,,,Airfare,P2016,,ORG,@auto
542,2016,33429,D424659,N00031317,DI,,,F30,158,01/07/2015,,FL,,,,,Catering,P2016,,ORG,@new
544,2016,33586,VN7JN9TSZ44,N00035688,DI,,Blossoms,U60,86,03/04/2015,Tallahassee,FL,323011259,,,,Flowers,P2016,,ORG,@new
549,2016,33866,B-E-18966,N00025219,RI,,Cubesmart,A70,93,01/02/2015,Denton,TX,762057109,,,,Storage,P2016,,ORG,@new
558,2016,34875,B-E-11995,N00031104,RI,,,A70,166,03/02/2015,,NY,,,,,Telephone,,,ORG,@new
560,2016,35068,BF3B2372205CC40E3A6A,N00029147,RI,,,R30,1000,03/16/2015,Tucson,AZ,857318612,C00512236,H2AZ08102,,Contribution,P2016,,CCM,@new
564,2016,35143,B-E-16946,N00027229,RI,,,F10,2171,01/08/2015,Trevose,PA,,,,,Printing,O2014,,ORG,@new
566,2016,35153,B-S-2706,N00027229,RI,,,F10,883,01/21/2015,Trevose,PA,,,,,Printing,O2014,,ORG,@new
571,2016,35538,VN7ME9TTPD4,N00027860,DC,,Uber,A40,43,03/06/2015,,CA,941051611,,,,Travel,P2016,,ORG,@auto
577,2016,36080,B56188EFAA0694E9F9FF,N00030744,RI,,,A40,2092,01/13/2015,Washington,DC,200031909,,,,Hotel,P2016,,ORG,@auto
578,2016,36096,B6211E566256840E2944,N00030744,RI,,,A30,10,12/18/2014,Washington,DC,200031801,,,,Meals,P2016,,ORG,@new
588,2016,36721,SB23I7064,N00001380,RL,,,A70,180,03/31/2015,FREDERICKSBURG,VA,,,,,STORAGE,,,ORG,@new
589,2016,36850,D660728,N00026914,DI,,,A40,109,01/23/2015,Dallas,TX,752351647,,,,Travel,P2016,,ORG,@auto
591,2016,36887,D660716,N00026914,DI,,,F30,120,01/21/2015,Washington,DC,200025657,,,,Food/Beverage,P2016,,ORG,@new2
592,2016,36929,D664319,N00026914,DI,,Uber,A40,5,03/24/2015,,CA,941051611,,,,Travel,P2016,,ORG,@auto
593,2016,36945,D663532,N00026914,DI,,Uber,A40,13,02/18/2015,,CA,941051611,,,,Travel,P2016,,ORG,@auto
594,2016,36960,D660669,N00026914,DI,,Uber,A40,15,01/12/2015,,CA,941051611,,,,Travel,P2016,,ORG,@auto
595,2016,37015,B3C7202BF74B446FC8DA,N00031103,RI,,,C10,1405,01/16/2015,Waukegan,IL,600857538,,,,Printing,,,ORG,ManAG
597,2016,37201,BC2FFF1B1A1E14046ABF,N00035347,RI,,,U20,499,03/06/2015,Austin,TX,787013258,,,,Software,,,ORG,@new
603,2016,37583,VNV8C9RFJH3,N00030191,DI,,,A40,264,02/27/2015,Dallas,TX,752351647,,,,Travel,P2016,,ORG,@auto
610,2016,37911,B697819E8FB124513A6F,N00031938,RI,,,R30,2000,03/14/2015,Fowler,KS,678440410,C00413096,H6KS01146,,Contribution,P2016,,CCM,@new
615,2016,38081,VN7W39TT334,N00035535,DI,,,F30,355,03/06/2015,Washington,DC,,,,,Catering,P2016,,ORG,@new
619,2016,38383,SB23-165413,N00009638,DN,,,W10,3300,03/24/2015,Chicago,IL,,,,,Insurance,G2012,,ORG,@new
626,2016,38761,50414E15024,N00008799,RI,,,A70,118,02/05/2015,,TX,,,,,Phone,,,ORG,@new
649,2016,40020,B-E-87698,N00005681,RI,,,A70,446,02/12/2015,Dallas,TX,752402601,,,,Utilities,P2016,,ORG,@auto
651,2016,40160,B-S-5261,N00028152,RI,,Vendetta,F30,5270,01/09/2015,Washington,DC,,,,,Catering,P2016,,ORG,@new
652,2016,40196,B-S-5297,N00028152,RI,,,W10,1573,01/30/2015,,MD,208155174,,,,Payroll,P2016,,IND,@auto
661,2016,40928,B47F2E1B189654579B7E,N00027623,RI,,,A40,645,01/19/2015,,VA,244452910,,,,Lodging,P2016,,ORG,@auto
664,2016,41312,17-05-05142-11555,N00029260,DC,,,W10,1389,03/02/2015,Flagstaff,AZ,,,,,Payroll,,,IND,@auto
665,2016,41465,VPEEG9SFH36,N00035215,DI,,,A40,331,02/23/2015,Atlanta,GA,303206001,,,,Airfare,P2016,,ORG,@auto
669,2016,41589,SB172539,N00003675,RI,,,W10,227,02/13/2015,,OH,,,,,PAYROLL,,,IND,@auto
671,2016,41771,SBCCUV4627,N00003675,RI,,Speedway,A40,41,01/01/2015,,OH,,,,,TRAVEL,,,ORG,@auto
672,2016,41847,SBCCUV4698,N00003675,RI,,Speedway,A40,32,01/15/2015,,OH,,,,,TRAVEL,,,ORG,@auto
673,2016,41924,SBCCUV4862,N00003675,RI,,Speedway,A40,200,03/13/2015,,OH,,,,,TRAVEL,,,ORG,@auto
677,2016,42117,D522010,N00027741,DI,,,U10,905,03/11/2015,,IA,,,,,Mailing,P2016,,ORG,@new
683,2016,42408,B-S-27344,N00009604,DI,,,U10,118,02/18/2015,,CA,921990001,,,,Postage,P2016,,ORG,@new
687,2016,42632,SB17-EX2045,N00033532,RI,,,A30,20,03/13/2015,Washington,DC,,,,,Lunch,P2016,,ORG,@new
688,2016,42665,SB17-EX1908,N00033532,RI,,,A40,560,01/20/2015,Coronado,CA,,,,,Lodging,P2016,,ORG,@auto
696,2016,43056,D567436,N00027467,DI,,,W10,802,03/31/2015,,MN,,,,,Payroll,P2016,,IND,@auto
697,2016,43150,BE08FFB7E0B094B9EABF,N00030962,RI,,,W10,1028,03/12/2015,,VA,234543457,,,,Payroll,P2016,,IND,@auto
698,2016,43155,BBC38FA9FE2394881AEF,N00030962,RI,,,W10,973,02/12/2015,,VA,234511548,,,,Payroll,P2016,,IND,@auto
701,2016,43261,PDTB139EXPB2494,N00033373,DI,,,A40,1253,03/13/2015,,FL,,,,,Lodging,P2016,,ORG,@auto
705,2016,43459,D568571,N00006023,DI,,,W10,105,01/12/2015,Austin,TX,,,,,Taxes,P2016,,ORG,@new
708,2016,43559,VNGX89TW272,N00036030,DN,,,A20,32,03/13/2015,,CA,940431126,,,,Software,G2014,,ORG,@new
710,2016,43645,50122E2463,N00031244,RO,,,M00,500,01/09/2015,,NV,,,,,Advertisement,,,ORG,@new
712,2016,43722,50213E764,N00035628,RI,,,A40,25,01/16/2015,,TX,,,,,Travel,,,ORG,@auto
719,2016,43912,D569751,N00029070,DI,,Amtrak,A40,123,01/16/2015,Washington,DC,200024285,,,,Travel,O2016,Convention,ORG,@auto
724,2016,44042,VN7NP9YGKJ2,N00030717,DI,,,M20,225,02/27/2015,,CA,906705588,,,,Advertisement,P2016,,ORG,@new
733,2016,44668,EXPB54634,N00007419,DI,,,A70,146,01/05/2015,,IL,601975025,,,,Telephones,P2016,,ORG,@new
744,2016,45403,D757938,N00000205,DN,,,R30,2000,03/30/2015,Bowie,MD,,C00140715,H2MD05155,,Donation,G2016,,CCM,@new
746,2016,45608,D563417,N00002713,DI,,,A40,215,02/18/2015,,CA,,,,,Lodging,P2016,,ORG,@auto
747,2016,45790,B-S-7862,N00026043,RI,,,A40,425,03/27/2015,Lubbock,TX,,,,,Airfare,P2016,,ORG,@auto
750,2016,45834,B-S-7823,N00026043,RI,,,U00,605,01/28/2015,Pittsburg,KS,,,,,Photography,P2016,,ORG,@new
752,2016,45934,B-E-6817,N00033630,RI,,,U10,98,01/29/2015,Concord,NC,280276736,,,,postage,,,ORG,@auto
753,2016,45949,B-E-6841,N00033630,RI,,,A40,217,02/04/2015,Phoenix,AZ,850343802,,,,flight,,,ORG,@new
754,2016,46014,B-E-7051,N00033630,RI,,,A40,50,03/17/2015,Charlotte,NC,282085750,,,,flight,,,ORG,@new
766,2016,46795,SB17I6194,N00029258,RI,,Uber,A40,15,01/07/2015,,CA,,,,,TRANSPORTATION,,,ORG,@auto
767,2016,46806,SB17I6205,N00029258,RI,,Uber,A40,8,02/09/2015,,CA,,,,,TRANSPORTATION,,,ORG,@auto
773,2016,47397,VPEBZ9TRDZ3,N00009724,DI,,,A70,293,02/13/2015,Tulsa,OK,741211074,,,,Telephone,P2016,,ORG,@new
774,2016,47434,VPEBZ9TRBQ5,N00009724,DI,,,U10,2465,01/02/2015,Providence,RI,029052892,,,,Printing,P2016,,ORG,@new
776,2016,47496,VPEBZ9TS3D8,N00009724,DI,,,W10,177,03/26/2015,,RI,029142909,,,,Payroll,P2016,,IND,@auto
797,2016,48728,SB21B-9055,C00460147,DP,,,A40,443,03/02/2015,WASHINGTON,DC,200387800,,,,Airfare,,,ORG,@auto
798,2016,48730,SB21B-9057,C00460147,DP,,,A40,-519,03/02/2015,WASHINGTON,DC,200387800,,,,Airfare,,,ORG,@auto
