,Unnamed: 0,Cycle,ID,TransID,CRPFilerid,Recipcode,Pacshort,CRPRecipname,Expcode,Amount,Date,City,State,Zip,CmteID_EF,Candid,Type,Descrip,PG,ElecOther,EntType,Source
556,9844,2016,6427300,VN7FFA14TW1,C00503789,OI,,,R40,50000,05/02/2016,Richmond,VA,232180597,,,,contribut,,,ORG,@new
557,9847,2016,6430046,23-02-01241-01567,C00410308,PI,,,R30,2000,05/24/2016,Greensboro,NC,,C00546358,H4NC12100,,contribut,P2016,,CCM,WAD16
558,9848,2016,6430158,11181645,C00084491,PB,,,R30,2500,05/23/2016,Savannah,GA,,C00543967,H4GA01039,,contribut,P2016,,CCM,WAD16
559,9851,2016,6431372,D586020,C00525600,PI,,,A40,857,05/05/2016,Washington,DC,,,,,travel,,,ORG,@auto
560,9852,2016,6432251,SB21B76061,C00581868,OI,,Hotels.Com,A40,302,05/04/2016,Dallas,TX,,,,,lodg,,,ORG,@auto
561,9857,2016,6433894,VNTPK9SZ994,C00547349,OI,,,W10,1533,05/31/2016,Concord,NH,033016313,,,,salari,,,IND,@auto
562,9862,2016,6438601,B599269,C00477653,PB,,,R30,5000,04/18/2016,Indianapolis,IN,,C00500207,H2IN05082,,contribut,G2016,,CCM,@new3
563,9877,2016,6449225,SB11061589862442,N00007876,DI,,,U10,21,08/05/2015,MEMPHIS,TN,381011140,,S2WA00189,,ship,,,,@new
564,9881,2016,6452722,SB02221611953882,N00009918,DI,,,A70,21,12/12/2015,,TX,782052255,,S4VT00017,,telephon,,,,@new
565,9883,2016,6454802,SB05041501991029,N00007724,DI,,,A20,2700,02/12/2015,WASHINGTON,DC,200055006,,S6OR00110,,databas,,,,@new
566,9885,2016,6454961,SB02171603231485,N00007724,DI,,,F30,207,12/04/2015,,NY,100245306,,S6OR00110,,cater,,,,@new
567,9888,2016,6456889,SB08071586112617,N00001093,DI,,,A40,413,04/30/2015,WASHINGTON,DC,,,S8NY00082,,travel,,,,@auto
568,9889,2016,6456945,SB11051589841726,N00001093,DI,,,U10,62,07/31/2015,,NY,,,S8NY00082,,postag,,,,@new
569,9892,2016,6458394,SB06161606481110,N00012539,RI,,,A40,401,03/18/2016,CHICAGO,IL,606100000,,S0IL00261,,airfar,,,,@auto
570,9893,2016,6459366,SB0311167520613,N00012539,RI,,,W10,450,01/01/2016,SYCAMORE,IL,601788908,,S0IL00261,,salari,,,,@auto
571,9902,2016,6464788,SB08111554411504,N00004572,RI,,,A30,209,06/12/2015,WASHINGTON,DC,205100001,,S2SD00068,,meal,,,,@new
572,9903,2016,6467856,SB10281577492835,N00030608,DI,,,F30,347,09/09/2015,DENVER,CO,802031305,,S0CO00211,,cater,,,,@new
573,9907,2016,6469870,SB08101549211923,N00030608,DI,,,F30,587,03/23/2015,DENVER,CO,,,S0CO00211,,cater,,,,@new
574,9908,2016,6470575,SB07281529662529,N00003682,RI,,,A40,2344,05/11/2015,,CA,940255235,,S0OH00133,,lodg,,,,@auto
575,9910,2016,6471607,SB07281529522488,N00003682,RI,,,C10,4700,05/01/2015,,FL,320826277,,S0OH00133,,print,,,,@new2
576,9914,2016,6473961,SB04271696524578,N00001489,RI,,,F40,2478,01/25/2016,CHANTILLY,VA,201511501,,S4PA00121,,cage,,,,@new
577,9920,2016,6477807,SB04221632536202,N00028049,DL,,,W10,814,02/15/2016,MEDIA,PA,,,S0PA00434,,payrol,,,,@auto
578,9924,2016,6479137,SB0519160281362,N00031129,RI,,,A70,752,02/08/2016,,OK,,,S4OK00232,,phone/cable/internet,,,,@new
579,9925,2016,6480845,SB09171594232759,N00031696,RI,,Maverik,A40,28,05/07/2015,,UT,,,S0UT00165,,travel,,,,@auto
580,9926,2016,6480946,SB08071556581623,N00031696,RI,,,A30,168,03/10/2015,MINNEAPOLIS,MN,,,S0UT00165,,food/beverag,,,,@new
581,9929,2016,6485175,SB06101627322382,N00030891,RL,,,W10,797,03/01/2016,INDIANAPOLIS,IN,,,S0IN00095,,salari,,,,@auto
582,9930,2016,6485213,SB06101628132624,N00030891,RL,,,A30,45,01/04/2016,HOWE,IN,,,S0IN00095,,food/beverag,,,,@new
583,9931,2016,6485221,SB02241656121167,N00030891,RL,,,W10,1920,12/31/2015,INDIANAPOLIS,IN,,,S0IN00095,,salari,,,,@auto
584,9934,2016,6486799,SB04271655571728,N00031685,DI,,,F30,293,02/08/2016,WASHINGTON,DC,200011501,,S0CT00177,,cater,,,,@new
585,9939,2016,6488170,SB05061680453675,N00033091,DC,,,W10,2132,02/16/2016,ORLANDO,FL,328107225,,S6FL00319,,payrol,,,,@auto
586,9943,2016,6491883,SB10281567571929,N00034746,RI,,,U10,1761,09/04/2015,WASHINGTON,DC,,,S6FL00293,,postag,,,,@auto
587,9948,2016,6497463,SB0210169290634,N00028138,DI,,,F30,205,10/01/2015,,NY,100224614,,S4HI00136,,cater,,,,@new
588,9949,2016,6497901,SB0519160078306,N00035717,RI,,,A40,30,12/09/2015,,CA,,,S6FL00350,,transport,,,,@auto
589,9954,2016,6499721,SB0307160826791,N00036923,DL,,Insperity,W10,3874,05/15/2015,KINGWOOD,TX,773393802,,S6OH00247,,payrol,,,,@auto
590,9955,2016,6499846,SB0307160275990,N00036923,DL,,,N10,2700,12/18/2015,CINCINNATI,OH,452371739,,S6OH00247,,refund,,,,@new
591,9958,2016,6503038,SB05011519062244,N00036915,DO,,,U10,35,03/31/2015,,CA,900172680,,S6CA00584,,ship,,,,@new
592,9960,2016,6504932,SB05101662552877,N00003730,DC,,,A40,20,02/25/2016,COLUMBUS,OH,432153603,,S6OH00254,,travel,,,,@auto
593,9963,2016,6505862,SB02121665653160,N00003730,DC,,,N10,2700,12/06/2015,SEATTLE,WA,981055331,,S6OH00254,,refund,,,,@new
594,9964,2016,6506485,SB10221529212520,N00013820,DO,,,A70,308,05/20/2015,KENSINGTON,MD,208952522,,S6MD03441,,storag,,,,@new
595,9966,2016,6507386,SB02251691072796,N00013820,DO,,,W10,2110,12/14/2015,COLUMBIA,MD,,,S6MD03441,,salari,,,,@auto
596,9967,2016,6509069,SB04221674085492,N00028249,DL,,,W10,1631,01/05/2016,PINCKNEY,MI,481699574,,S6MD03458,,salari,,,,@auto
597,9969,2016,6510677,SB042116098085,N00037159,RN,,Speedway,A40,28,02/18/2016,NOBLESVILLE,IN,460628906,,S6IN00175,,ga,,,,@new
598,9970,2016,6511795,SB02221698594012,N00027860,DC,,,U10,1,12/15/2015,CHICAGO,IL,606104300,,S6IL00292,,postag,,,,@auto
599,9971,2016,6513175,SB051916963419,N00037156,DC,,,C10,219,02/12/2016,BURBANK,CA,,,S6AL00302,,brochur,,,,@new
600,9981,2016,6518812,SB0429163428662,N00008274,DO,,,A40,158,03/22/2016,DALLAS,TX,,,S6CA00691,,airfar,,,,@auto
601,9989,2016,6523545,SB0513164017252,N00037495,RC,,,A40,646,01/06/2016,,NY,111014020,,S6FL00343,,airfar,,,,@auto
602,9991,2016,6524892,SB02261690075,N00037553,DC,,,M30,92,12/07/2015,,CA,,,S6UT00238,,advertis,,,,@new
603,9997,2016,6530452,SB0510160760657,N00039052,DC,,,W10,3091,03/31/2016,LEXINGTON,KY,,,S6KY00120,,payrol,,,,@auto
